Week Ending Date,County,Count
2020-12-05,BRONX,13
2020-12-05,MONTGOMERY,0
2020-12-05,SULLIVAN,4
2020-12-05,TIOGA,0
2020-12-05,COLUMBIA,0
2020-12-05,ORLEANS,0
2020-12-05,OTSEGO,0
2020-12-05,CHAUTAUQUA,1
2020-12-05,CATTARAUGUS,0
2020-12-05,DELAWARE,0
2020-12-05,BROOME,0
2020-12-05,JEFFERSON,11
2020-12-05,SCHENECTADY,0
2020-12-05,LEWIS,0
2020-12-05,PUTNAM,7
2020-12-05,CLINTON,1
2020-12-05,CHENANGO,0
2020-12-05,WESTCHESTER,6
2020-12-05,ONONDAGA,3
2020-12-05,ST LAWRENCE,2
2020-12-05,SARATOGA,1
2020-12-05,NEW YORK,15
2020-12-05,DUTCHESS,3
2020-12-05,ONEIDA,0
2020-12-05,HERKIMER,1
2020-12-05,YATES,0
2020-12-05,TOMPKINS,0
2020-12-05,ESSEX,5
2020-12-05,FRANKLIN,0
2020-12-05,GREENE,0
2020-12-05,LIVINGSTON,0
2020-12-05,ALBANY,0
2020-12-05,SCHOHARIE,0
2020-12-12,CHAUTAUQUA,0
2020-12-12,WASHINGTON,3
2020-12-12,CAYUGA,0
2020-12-12,DUTCHESS,6
2020-12-12,ROCKLAND,2
2020-12-12,QUEENS,9
2020-12-12,TOMPKINS,0
2020-12-12,COLUMBIA,0
2020-12-12,CHEMUNG,0
2020-12-12,ORANGE,0
2020-12-12,WESTCHESTER,10
2020-12-12,LEWIS,1
2020-12-12,PUTNAM,17
2020-12-12,DELAWARE,1
2020-12-12,CATTARAUGUS,0
2020-12-12,OTSEGO,2
2020-12-12,SCHOHARIE,1
2020-12-12,TIOGA,0
2020-12-12,ST LAWRENCE,0
2020-12-12,ALBANY,0
2020-12-12,FRANKLIN,0
2020-12-12,YATES,0
2020-12-12,SULLIVAN,2
2020-12-12,ONEIDA,2
2020-12-12,ERIE,19
2020-12-12,HERKIMER,2
2020-12-12,RICHMOND,7
2020-12-12,SENECA,0
2020-12-12,CORTLAND,2
2020-12-12,NIAGARA,1
2020-12-12,STEUBEN,0
2020-12-12,FULTON,0
2020-12-12,SUFFOLK,13
2020-12-12,ULSTER,1
2020-12-12,KINGS,18
2020-12-12,OSWEGO,1
2020-12-12,MONTGOMERY,0
2020-12-12,GENESEE,0
2020-12-12,BROOME,1
2020-12-12,GREENE,0
2020-12-12,RENSSELAER,0
2020-12-12,LIVINGSTON,0
2020-12-12,SCHUYLER,0
2020-12-12,WARREN,5
2020-12-12,BRONX,5
2020-12-12,ONONDAGA,1
2020-12-12,MONROE,1
2020-12-12,WAYNE,3
2020-12-12,WYOMING,0
2020-12-12,NEW YORK,2
2020-12-12,ORLEANS,0
2020-12-12,NASSAU,17
2020-12-12,SARATOGA,3
2020-12-12,CLINTON,1
2020-12-12,ALLEGANY,0
2020-12-12,JEFFERSON,9
2020-12-12,HAMILTON,0
2020-12-12,MADISON,3
2020-12-12,CHENANGO,1
2020-12-12,ESSEX,1
2020-12-12,ONTARIO,0
2020-12-12,SCHENECTADY,1
2020-12-19,SUFFOLK,23
2020-12-19,ESSEX,3
2020-12-19,ST LAWRENCE,1
2020-12-19,ALLEGANY,1
2020-12-19,SULLIVAN,0
2020-12-19,STEUBEN,0
2020-12-19,OSWEGO,1
2020-12-19,HAMILTON,0
2020-12-19,NASSAU,21
2020-12-19,SCHUYLER,2
2020-12-19,KINGS,22
2020-12-19,NIAGARA,8
2020-12-19,MONROE,8
2020-12-19,FULTON,0
2020-12-19,PUTNAM,28
2020-12-19,ULSTER,0
2020-12-19,RENSSELAER,6
2020-12-19,RICHMOND,4
2020-12-19,CORTLAND,0
2020-12-19,CHEMUNG,1
2020-12-19,WESTCHESTER,8
2020-12-19,WARREN,1
2020-12-19,DELAWARE,9
2020-12-19,JEFFERSON,34
2020-12-19,CATTARAUGUS,0
2020-12-19,OTSEGO,19
2020-12-19,SCHOHARIE,5
2020-12-19,ORLEANS,1
2020-12-19,SCHENECTADY,4
2020-12-19,GREENE,0
2020-12-19,SARATOGA,6
2020-12-19,ALBANY,2
2020-12-19,YATES,0
2020-12-19,NEW YORK,17
2020-12-19,ONEIDA,5
2020-12-19,TIOGA,0
2020-12-19,MONTGOMERY,0
2020-12-19,ONONDAGA,5
2020-12-19,ERIE,9
2020-12-19,BRONX,5
2020-12-19,ORANGE,1
2020-12-19,HERKIMER,1
2020-12-19,SENECA,2
2020-12-19,FRANKLIN,0
2020-12-19,LEWIS,1
2020-12-19,CAYUGA,1
2020-12-19,COLUMBIA,0
2020-12-19,BROOME,2
2020-12-19,CHAUTAUQUA,1
2020-12-19,WYOMING,0
2020-12-19,LIVINGSTON,0
2020-12-19,ONTARIO,0
2020-12-19,CHENANGO,5
2020-12-19,CLINTON,0
2020-12-19,GENESEE,0
2020-12-19,WASHINGTON,1
2020-12-19,MADISON,1
2020-12-19,ROCKLAND,4
2020-12-19,QUEENS,11
2020-12-19,DUTCHESS,14
2020-12-19,TOMPKINS,0
2020-12-19,WAYNE,0
2020-12-26,DUTCHESS,3
2020-12-26,ONEIDA,2
2020-12-26,BROOME,1
2020-12-26,TIOGA,0
2020-12-26,ERIE,5
2020-12-26,SARATOGA,2
2020-12-26,TOMPKINS,0
2020-12-26,MADISON,0
2020-12-26,SENECA,0
2020-12-26,RICHMOND,8
2020-12-26,ONONDAGA,4
2020-12-26,BRONX,4
2020-12-26,LEWIS,0
2020-12-26,MONTGOMERY,0
2020-12-26,COLUMBIA,0
2020-12-26,SCHENECTADY,1
2020-12-26,ONTARIO,0
2020-12-26,RENSSELAER,2
2020-12-26,CHEMUNG,0
2020-12-26,WESTCHESTER,6
2020-12-26,NIAGARA,0
2020-12-26,WARREN,2
2020-12-26,DELAWARE,1
2020-12-26,JEFFERSON,5
2020-12-26,GENESEE,2
2020-12-26,CATTARAUGUS,0
2020-12-26,SCHOHARIE,1
2020-12-26,OTSEGO,1
2020-12-26,CLINTON,0
2020-12-26,ORLEANS,0
2020-12-26,LIVINGSTON,0
2020-12-26,GREENE,0
2020-12-26,CHAUTAUQUA,0
2020-12-26,ALBANY,3
2020-12-26,FRANKLIN,0
2020-12-26,WYOMING,0
2020-12-26,CORTLAND,1
2020-12-26,YATES,0
2020-12-26,NEW YORK,14
2020-12-26,WAYNE,0
2020-12-26,MONROE,0
2020-12-26,CAYUGA,0
2020-12-26,NASSAU,15
2020-12-26,HERKIMER,5
2020-12-26,CHENANGO,1
2020-12-26,PUTNAM,22
2020-12-26,KINGS,22
2020-12-26,OSWEGO,0
2020-12-26,ST LAWRENCE,1
2020-12-26,ROCKLAND,2
2020-12-26,ULSTER,1
2020-12-26,SULLIVAN,3
2020-12-26,STEUBEN,0
2020-12-26,QUEENS,17
2020-12-26,WASHINGTON,3
2020-12-26,SCHUYLER,1
2020-12-26,ESSEX,3
2020-12-26,ORANGE,2
2020-12-26,FULTON,0
2020-12-26,ALLEGANY,0
2020-12-26,HAMILTON,1
2020-12-26,SUFFOLK,25
2021-01-02,OSWEGO,0
2021-01-02,WAYNE,0
2021-01-02,KINGS,34
2021-01-02,ORLEANS,0
2021-01-02,ULSTER,0
2021-01-02,LIVINGSTON,0
2021-01-02,GREENE,1
2021-01-02,WASHINGTON,1
2021-01-02,CHAUTAUQUA,4
2021-01-02,BRONX,5
2021-01-02,CHENANGO,0
2021-01-02,HAMILTON,0
2021-01-02,RENSSELAER,3
2021-01-02,WESTCHESTER,4
2021-01-02,NIAGARA,3
2021-01-02,WARREN,3
2021-01-02,SULLIVAN,1
2021-01-02,OTSEGO,6
2021-01-02,DELAWARE,3
2021-01-02,DUTCHESS,5
2021-01-02,GENESEE,0
2021-01-02,SCHOHARIE,1
2021-01-02,JEFFERSON,2
2021-01-02,ORANGE,0
2021-01-02,CATTARAUGUS,0
2021-01-02,ALLEGANY,2
2021-01-02,ONTARIO,2
2021-01-02,ALBANY,5
2021-01-02,WYOMING,0
2021-01-02,CLINTON,3
2021-01-02,HERKIMER,9
2021-01-02,QUEENS,6
2021-01-02,ST LAWRENCE,1
2021-01-02,COLUMBIA,0
2021-01-02,SENECA,0
2021-01-02,SARATOGA,0
2021-01-02,ROCKLAND,2
2021-01-02,RICHMOND,4
2021-01-02,STEUBEN,0
2021-01-02,ESSEX,5
2021-01-02,BROOME,1
2021-01-02,CORTLAND,1
2021-01-02,CHEMUNG,0
2021-01-02,TOMPKINS,0
2021-01-02,NASSAU,17
2021-01-02,TIOGA,0
2021-01-02,MONTGOMERY,1
2021-01-02,LEWIS,0
2021-01-02,SCHUYLER,1
2021-01-02,ERIE,1
2021-01-02,MADISON,3
2021-01-02,FRANKLIN,0
2021-01-02,ONEIDA,9
2021-01-02,FULTON,1
2021-01-02,MONROE,1
2021-01-02,NEW YORK,2
2021-01-02,CAYUGA,1
2021-01-02,ONONDAGA,3
2021-01-02,SUFFOLK,36
2021-01-02,YATES,0
2021-01-02,SCHENECTADY,7
2021-01-02,PUTNAM,21
2021-01-09,PUTNAM,6
2021-01-09,QUEENS,15
2021-01-09,FRANKLIN,0
2021-01-09,ESSEX,7
2021-01-09,ERIE,6
2021-01-09,DUTCHESS,3
2021-01-09,RENSSELAER,5
2021-01-09,MONTGOMERY,0
2021-01-09,ALLEGANY,0
2021-01-09,CHAUTAUQUA,0
2021-01-09,COLUMBIA,1
2021-01-09,GENESEE,1
2021-01-09,LEWIS,0
2021-01-09,CAYUGA,0
2021-01-09,ST LAWRENCE,7
2021-01-09,CATTARAUGUS,1
2021-01-09,WYOMING,1
2021-01-09,CLINTON,1
2021-01-09,WAYNE,0
2021-01-09,NASSAU,30
2021-01-09,ONTARIO,0
2021-01-09,WESTCHESTER,2
2021-01-09,MONROE,4
2021-01-09,SARATOGA,2
2021-01-09,ONEIDA,52
2021-01-09,GREENE,0
2021-01-09,KINGS,27
2021-01-09,ORLEANS,2
2021-01-09,HERKIMER,19
2021-01-09,SCHENECTADY,1
2021-01-09,HAMILTON,0
2021-01-09,SENECA,0
2021-01-09,CHENANGO,2
2021-01-09,SUFFOLK,35
2021-01-09,ORANGE,1
2021-01-09,BROOME,0
2021-01-09,TOMPKINS,0
2021-01-09,MADISON,2
2021-01-09,TIOGA,0
2021-01-09,SCHUYLER,0
2021-01-09,DELAWARE,0
2021-01-09,ONONDAGA,2
2021-01-09,STEUBEN,3
2021-01-09,OTSEGO,1
2021-01-09,ALBANY,3
2021-01-09,WASHINGTON,4
2021-01-09,YATES,0
2021-01-09,RICHMOND,1
2021-01-09,WARREN,4
2021-01-09,JEFFERSON,10
2021-01-09,LIVINGSTON,1
2021-01-09,FULTON,1
2021-01-09,NEW YORK,4
2021-01-09,ULSTER,1
2021-01-09,BRONX,6
2021-01-09,CHEMUNG,1
2021-01-09,NIAGARA,4
2021-01-09,OSWEGO,0
2021-01-09,SULLIVAN,1
2021-01-09,ROCKLAND,0
2021-01-09,CORTLAND,0
2021-01-09,SCHOHARIE,0
2021-01-16,MONTGOMERY,1
2021-01-16,WYOMING,1
2021-01-16,CAYUGA,0
2021-01-16,SUFFOLK,25
2021-01-16,CHAUTAUQUA,3
2021-01-16,WESTCHESTER,7
2021-01-16,KINGS,38
2021-01-16,TIOGA,0
2021-01-16,STEUBEN,0
2021-01-16,WASHINGTON,0
2021-01-16,LIVINGSTON,2
2021-01-16,NEW YORK,3
2021-01-16,BRONX,4
2021-01-16,SENECA,0
2021-01-16,NIAGARA,8
2021-01-16,BROOME,24
2021-01-16,LEWIS,1
2021-01-16,ST LAWRENCE,4
2021-01-16,ERIE,5
2021-01-16,CATTARAUGUS,1
2021-01-16,ONEIDA,89
2021-01-16,WARREN,3
2021-01-16,QUEENS,19
2021-01-16,ONTARIO,0
2021-01-16,SCHUYLER,0
2021-01-16,DUTCHESS,3
2021-01-16,ALLEGANY,0
2021-01-16,COLUMBIA,0
2021-01-16,TOMPKINS,0
2021-01-16,ROCKLAND,5
2021-01-16,SULLIVAN,1
2021-01-16,OSWEGO,1
2021-01-16,RENSSELAER,7
2021-01-16,ULSTER,0
2021-01-16,CORTLAND,3
2021-01-16,RICHMOND,2
2021-01-16,YATES,0
2021-01-16,ALBANY,1
2021-01-16,FRANKLIN,0
2021-01-16,OTSEGO,2
2021-01-16,DELAWARE,1
2021-01-16,FULTON,1
2021-01-16,WAYNE,0
2021-01-16,GENESEE,0
2021-01-16,HERKIMER,21
2021-01-16,ONONDAGA,3
2021-01-16,JEFFERSON,9
2021-01-16,CHEMUNG,0
2021-01-16,MADISON,1
2021-01-16,ESSEX,2
2021-01-16,PUTNAM,2
2021-01-16,CLINTON,4
2021-01-16,SCHOHARIE,1
2021-01-16,ORANGE,1
2021-01-16,SCHENECTADY,2
2021-01-16,HAMILTON,0
2021-01-16,GREENE,0
2021-01-16,ORLEANS,0
2021-01-16,SARATOGA,8
2021-01-16,MONROE,0
2021-01-16,NASSAU,18
2021-01-16,CHENANGO,1
2021-01-23,ULSTER,2
2021-01-23,WARREN,3
2021-01-23,TOMPKINS,0
2021-01-23,WASHINGTON,2
2021-01-23,YATES,0
2021-01-23,WYOMING,0
2021-01-23,TIOGA,0
2021-01-23,WESTCHESTER,2
2021-01-23,WAYNE,0
2021-01-23,NIAGARA,4
2021-01-23,MADISON,1
2021-01-23,ROCKLAND,0
2021-01-23,ONTARIO,0
2021-01-23,GENESEE,1
2021-01-23,RICHMOND,5
2021-01-23,GREENE,1
2021-01-23,RENSSELAER,2
2021-01-23,HAMILTON,0
2021-01-23,HERKIMER,8
2021-01-23,QUEENS,31
2021-01-23,JEFFERSON,3
2021-01-23,KINGS,27
2021-01-23,PUTNAM,1
2021-01-23,FRANKLIN,0
2021-01-23,LEWIS,2
2021-01-23,OTSEGO,2
2021-01-23,SUFFOLK,30
2021-01-23,MONROE,3
2021-01-23,SULLIVAN,3
2021-01-23,ALBANY,4
2021-01-23,MONTGOMERY,1
2021-01-23,OSWEGO,1
2021-01-23,NASSAU,18
2021-01-23,ORLEANS,0
2021-01-23,NEW YORK,4
2021-01-23,ORANGE,1
2021-01-23,ONEIDA,34
2021-01-23,LIVINGSTON,0
2021-01-23,ESSEX,4
2021-01-23,FULTON,0
2021-01-23,CHEMUNG,0
2021-01-23,BRONX,1
2021-01-23,ALLEGANY,0
2021-01-23,BROOME,2
2021-01-23,STEUBEN,1
2021-01-23,CATTARAUGUS,0
2021-01-23,CAYUGA,1
2021-01-23,ST LAWRENCE,0
2021-01-23,CHAUTAUQUA,1
2021-01-23,SENECA,1
2021-01-23,ERIE,9
2021-01-23,CHENANGO,1
2021-01-23,SCHUYLER,0
2021-01-23,CLINTON,3
2021-01-23,ONONDAGA,1
2021-01-23,COLUMBIA,2
2021-01-23,SARATOGA,1
2021-01-23,SCHOHARIE,1
2021-01-23,CORTLAND,1
2021-01-23,DUTCHESS,3
2021-01-23,DELAWARE,5
2021-01-23,SCHENECTADY,2
2021-01-30,QUEENS,19
2021-01-30,ONTARIO,1
2021-01-30,TIOGA,0
2021-01-30,ORANGE,2
2021-01-30,STEUBEN,1
2021-01-30,ROCKLAND,3
2021-01-30,ORLEANS,0
2021-01-30,SARATOGA,1
2021-01-30,RICHMOND,0
2021-01-30,SCHOHARIE,1
2021-01-30,OSWEGO,0
2021-01-30,SCHENECTADY,1
2021-01-30,ULSTER,0
2021-01-30,SENECA,0
2021-01-30,RENSSELAER,1
2021-01-30,OTSEGO,3
2021-01-30,SCHUYLER,0
2021-01-30,PUTNAM,0
2021-01-30,ST LAWRENCE,0
2021-01-30,TOMPKINS,0
2021-01-30,MADISON,1
2021-01-30,ONEIDA,0
2021-01-30,ERIE,7
2021-01-30,DUTCHESS,3
2021-01-30,WESTCHESTER,7
2021-01-30,DELAWARE,2
2021-01-30,CORTLAND,2
2021-01-30,COLUMBIA,0
2021-01-30,CLINTON,1
2021-01-30,ESSEX,8
2021-01-30,CHENANGO,0
2021-01-30,WYOMING,1
2021-01-30,CHAUTAUQUA,1
2021-01-30,CAYUGA,0
