,date,county,census_fips_code,retail_and_recreation_percent_change,grocery_and_pharmacy_percent_change,parks_percent_change,transit_stations_percent_change,workplaces_percent_change,residential_percent_change
867,2020-05-23,Dutchess County,36027.0,-42.142857142857146,-2.857142857142857,95.0,-44.0,-38.857142857142854,15.285714285714286
928,2020-05-30,Dutchess County,36027.0,-41.714285714285715,-3.4285714285714284,137.42857142857142,-40.42857142857143,-39.857142857142854,14.857142857142858
989,2020-06-06,Dutchess County,36027.0,-40.0,-0.2857142857142857,117.57142857142857,-37.0,-32.42857142857143,13.142857142857142
1050,2020-06-13,Dutchess County,36027.0,-34.714285714285715,1.7142857142857142,120.0,-29.0,-30.428571428571427,11.285714285714286
1111,2020-06-20,Dutchess County,36027.0,-30.142857142857142,5.428571428571429,135.42857142857142,-26.428571428571427,-29.714285714285715,10.0
1172,2020-06-27,Dutchess County,36027.0,-28.714285714285715,1.7142857142857142,128.42857142857142,-28.571428571428573,-30.142857142857142,9.571428571428571
1233,2020-07-04,Dutchess County,36027.0,-26.857142857142858,4.571428571428571,107.42857142857143,-29.285714285714285,-34.714285714285715,9.857142857142858
1294,2020-07-11,Dutchess County,36027.0,-27.714285714285715,-2.0,108.42857142857143,-30.0,-31.0,9.857142857142858
1355,2020-07-18,Dutchess County,36027.0,-21.857142857142858,0.14285714285714285,138.71428571428572,-28.714285714285715,-29.142857142857142,8.142857142857142
1416,2020-07-25,Dutchess County,36027.0,-21.571428571428573,-2.857142857142857,105.14285714285714,-28.428571428571427,-29.571428571428573,8.571428571428571
1477,2020-08-01,Dutchess County,36027.0,-19.571428571428573,-1.7142857142857142,127.85714285714286,-24.571428571428573,-29.571428571428573,7.857142857142857
1538,2020-08-08,Dutchess County,36027.0,-16.714285714285715,-3.7142857142857144,123.85714285714286,-29.714285714285715,-32.0,6.0
1599,2020-08-15,Dutchess County,36027.0,-16.285714285714285,-2.5714285714285716,131.57142857142858,-24.428571428571427,-30.0,7.142857142857143
1660,2020-08-22,Dutchess County,36027.0,-17.142857142857142,-3.2857142857142856,88.0,-24.0,-30.285714285714285,7.142857142857143
1721,2020-08-29,Dutchess County,36027.0,-17.714285714285715,-3.0,88.0,-24.0,-28.857142857142858,7.285714285714286
1777,2020-09-05,Dutchess County,36027.0,-14.0,0.14285714285714285,88.0,-24.0,-28.285714285714285,6.571428571428571
1833,2020-09-12,Dutchess County,36027.0,-16.0,-0.8571428571428571,104.57142857142857,-24.285714285714285,-32.57142857142857,7.142857142857143
1894,2020-09-19,Dutchess County,36027.0,-16.571428571428573,-1.5714285714285714,148.71428571428572,-34.0,-23.857142857142858,6.142857142857143
1955,2020-09-26,Dutchess County,36027.0,-15.0,0.0,136.28571428571428,-31.285714285714285,-23.0,6.428571428571429
