,Week Ending Date,County,Season,FIPS,Count
258,2020-03-14,FULTON,2019-2020,36035,36
259,2020-03-14,JEFFERSON,2019-2020,36045,71
260,2020-03-14,HERKIMER,2019-2020,36043,46
261,2020-03-14,HAMILTON,2019-2020,36041,3
262,2020-03-14,WASHINGTON,2019-2020,36115,19
263,2020-03-14,WAYNE,2019-2020,36117,53
264,2020-03-14,ULSTER,2019-2020,36111,31
265,2020-03-14,ESSEX,2019-2020,36031,19
266,2020-03-14,RICHMOND,2019-2020,36085,88
267,2020-03-14,CHENANGO,2019-2020,36017,39
268,2020-03-14,STEUBEN,2019-2020,36101,47
269,2020-03-14,MADISON,2019-2020,36053,34
270,2020-03-14,SCHOHARIE,2019-2020,36095,9
271,2020-03-14,DELAWARE,2019-2020,36025,18
272,2020-03-14,YATES,2019-2020,36123,19
273,2020-03-14,GENESEE,2019-2020,36037,22
274,2020-03-14,BRONX,2019-2020,36005,484
275,2020-03-14,QUEENS,2019-2020,36081,459
276,2020-03-14,ALBANY,2019-2020,36001,122
277,2020-03-14,SCHENECTADY,2019-2020,36093,116
278,2020-03-14,CATTARAUGUS,2019-2020,36009,28
279,2020-03-14,DUTCHESS,2019-2020,36027,58
280,2020-03-14,MONTGOMERY,2019-2020,36057,53
281,2020-03-14,SCHUYLER,2019-2020,36097,16
282,2020-03-14,CHAUTAUQUA,2019-2020,36013,71
283,2020-03-14,CAYUGA,2019-2020,36011,51
284,2020-03-14,COLUMBIA,2019-2020,36021,4
285,2020-03-14,SENECA,2019-2020,36099,18
286,2020-03-14,WYOMING,2019-2020,36121,18
287,2020-03-14,GREENE,2019-2020,36039,5
288,2020-03-14,NIAGARA,2019-2020,36063,42
289,2020-03-14,BROOME,2019-2020,36007,163
290,2020-03-14,OSWEGO,2019-2020,36075,95
291,2020-03-14,TOMPKINS,2019-2020,36109,64
292,2020-03-14,ONEIDA,2019-2020,36065,164
293,2020-03-14,SARATOGA,2019-2020,36091,152
294,2020-03-14,ST LAWRENCE,2019-2020,36089,147
295,2020-03-14,CLINTON,2019-2020,36019,74
296,2020-03-14,PUTNAM,2019-2020,36079,17
297,2020-03-14,WARREN,2019-2020,36113,20
298,2020-03-14,MONROE,2019-2020,36055,267
299,2020-03-14,ROCKLAND,2019-2020,36087,68
300,2020-03-14,ALLEGANY,2019-2020,36003,38
301,2020-03-14,NASSAU,2019-2020,36059,261
302,2020-03-14,SULLIVAN,2019-2020,36105,28
303,2020-03-14,ONONDAGA,2019-2020,36067,229
304,2020-03-14,ORLEANS,2019-2020,36073,8
305,2020-03-14,OTSEGO,2019-2020,36077,36
306,2020-03-14,SUFFOLK,2019-2020,36103,262
307,2020-03-14,KINGS,2019-2020,36047,502
308,2020-03-14,NEW YORK,2019-2020,36061,335
309,2020-03-14,ERIE,2019-2020,36029,231
310,2020-03-21,WAYNE,2019-2020,36117,30
311,2020-03-21,MONROE,2019-2020,36055,159
312,2020-03-21,NASSAU,2019-2020,36059,143
313,2020-03-21,WYOMING,2019-2020,36121,9
314,2020-03-21,HERKIMER,2019-2020,36043,19
315,2020-03-21,FULTON,2019-2020,36035,38
316,2020-03-21,ALBANY,2019-2020,36001,96
317,2020-03-21,HAMILTON,2019-2020,36041,1
318,2020-03-21,ST LAWRENCE,2019-2020,36089,78
319,2020-03-21,WASHINGTON,2019-2020,36115,5
320,2020-03-21,ULSTER,2019-2020,36111,19
321,2020-03-21,ALLEGANY,2019-2020,36003,26
322,2020-03-21,ONEIDA,2019-2020,36065,89
323,2020-03-21,ORLEANS,2019-2020,36073,7
324,2020-03-21,CAYUGA,2019-2020,36011,50
325,2020-03-21,ESSEX,2019-2020,36031,11
326,2020-03-21,PUTNAM,2019-2020,36079,12
327,2020-03-21,TIOGA,2019-2020,36107,22
328,2020-03-21,ROCKLAND,2019-2020,36087,39
329,2020-03-21,CHEMUNG,2019-2020,36015,61
330,2020-03-21,OTSEGO,2019-2020,36077,21
331,2020-03-21,ONTARIO,2019-2020,36069,41
332,2020-03-21,LEWIS,2019-2020,36049,27
333,2020-03-21,DUTCHESS,2019-2020,36027,47
334,2020-03-21,WARREN,2019-2020,36113,8
335,2020-03-21,SCHOHARIE,2019-2020,36095,11
336,2020-03-21,CLINTON,2019-2020,36019,44
337,2020-03-21,SCHENECTADY,2019-2020,36093,109
338,2020-03-21,TOMPKINS,2019-2020,36109,44
339,2020-03-21,GENESEE,2019-2020,36037,9
340,2020-03-21,NIAGARA,2019-2020,36063,21
341,2020-03-21,DELAWARE,2019-2020,36025,11
342,2020-03-21,MADISON,2019-2020,36053,18
343,2020-03-21,YATES,2019-2020,36123,8
344,2020-03-21,STEUBEN,2019-2020,36101,52
345,2020-03-21,CHAUTAUQUA,2019-2020,36013,58
346,2020-03-21,BRONX,2019-2020,36005,190
347,2020-03-21,KINGS,2019-2020,36047,211
348,2020-03-21,ONONDAGA,2019-2020,36067,120
349,2020-03-21,SENECA,2019-2020,36099,10
350,2020-03-21,GREENE,2019-2020,36039,5
351,2020-03-21,LIVINGSTON,2019-2020,36051,20
352,2020-03-21,OSWEGO,2019-2020,36075,56
353,2020-03-21,BROOME,2019-2020,36007,90
354,2020-03-21,SCHUYLER,2019-2020,36097,12
355,2020-03-21,QUEENS,2019-2020,36081,205
356,2020-03-21,SUFFOLK,2019-2020,36103,146
357,2020-03-21,FRANKLIN,2019-2020,36033,27
358,2020-03-21,SARATOGA,2019-2020,36091,82
359,2020-03-21,CHENANGO,2019-2020,36017,31
360,2020-03-21,CATTARAUGUS,2019-2020,36009,16
361,2020-03-21,WESTCHESTER,2019-2020,36119,109
362,2020-03-21,SULLIVAN,2019-2020,36105,22
363,2020-03-21,MONTGOMERY,2019-2020,36057,51
364,2020-03-21,RENSSELAER,2019-2020,36083,28
365,2020-03-21,NEW YORK,2019-2020,36061,124
366,2020-03-21,ERIE,2019-2020,36029,146
367,2020-03-21,RICHMOND,2019-2020,36085,30
368,2020-03-21,JEFFERSON,2019-2020,36045,65
369,2020-03-21,CORTLAND,2019-2020,36023,47
370,2020-03-21,ORANGE,2019-2020,36071,78
371,2020-03-21,COLUMBIA,2019-2020,36021,2
372,2020-03-28,ORANGE,2019-2020,36071,6
373,2020-03-28,STEUBEN,2019-2020,36101,13
374,2020-03-28,CAYUGA,2019-2020,36011,7
375,2020-03-28,WESTCHESTER,2019-2020,36119,13
376,2020-03-28,MADISON,2019-2020,36053,4
377,2020-03-28,DELAWARE,2019-2020,36025,5
378,2020-03-28,GENESEE,2019-2020,36037,1
379,2020-03-28,RENSSELAER,2019-2020,36083,9
380,2020-03-28,ONEIDA,2019-2020,36065,10
381,2020-03-28,SCHENECTADY,2019-2020,36093,12
382,2020-03-28,NIAGARA,2019-2020,36063,21
383,2020-03-28,SCHUYLER,2019-2020,36097,5
384,2020-03-28,LIVINGSTON,2019-2020,36051,2
385,2020-03-28,ORLEANS,2019-2020,36073,1
386,2020-03-28,PUTNAM,2019-2020,36079,1
387,2020-03-28,CLINTON,2019-2020,36019,14
388,2020-03-28,CORTLAND,2019-2020,36023,9
389,2020-03-28,TIOGA,2019-2020,36107,6
390,2020-03-28,ERIE,2019-2020,36029,15
391,2020-03-28,ROCKLAND,2019-2020,36087,7
392,2020-03-28,BRONX,2019-2020,36005,41
393,2020-03-28,CHEMUNG,2019-2020,36015,18
394,2020-03-28,OTSEGO,2019-2020,36077,5
395,2020-03-28,CATTARAUGUS,2019-2020,36009,2
396,2020-03-28,LEWIS,2019-2020,36049,9
397,2020-03-28,ONTARIO,2019-2020,36069,1
398,2020-03-28,DUTCHESS,2019-2020,36027,7
399,2020-03-28,WARREN,2019-2020,36113,1
400,2020-03-28,OSWEGO,2019-2020,36075,18
401,2020-03-28,SULLIVAN,2019-2020,36105,15
402,2020-03-28,SUFFOLK,2019-2020,36103,29
403,2020-03-28,SENECA,2019-2020,36099,3
404,2020-03-28,ESSEX,2019-2020,36031,4
405,2020-03-28,BROOME,2019-2020,36007,10
406,2020-03-28,ALBANY,2019-2020,36001,19
407,2020-03-28,HAMILTON,2019-2020,36041,2
408,2020-03-28,CHAUTAUQUA,2019-2020,36013,32
409,2020-03-28,QUEENS,2019-2020,36081,33
410,2020-03-28,ONONDAGA,2019-2020,36067,50
411,2020-03-28,HERKIMER,2019-2020,36043,3
412,2020-03-28,CHENANGO,2019-2020,36017,5
413,2020-03-28,ULSTER,2019-2020,36111,6
414,2020-03-28,WASHINGTON,2019-2020,36115,2
415,2020-03-28,NEW YORK,2019-2020,36061,14
416,2020-03-28,SARATOGA,2019-2020,36091,15
417,2020-03-28,ST LAWRENCE,2019-2020,36089,61
418,2020-03-28,COLUMBIA,2019-2020,36021,3
419,2020-03-28,YATES,2019-2020,36123,3
420,2020-03-28,RICHMOND,2019-2020,36085,9
421,2020-03-28,KINGS,2019-2020,36047,38
422,2020-03-28,MONTGOMERY,2019-2020,36057,13
423,2020-03-28,WYOMING,2019-2020,36121,5
424,2020-03-28,FULTON,2019-2020,36035,8
425,2020-03-28,WAYNE,2019-2020,36117,6
426,2020-03-28,NASSAU,2019-2020,36059,25
427,2020-03-28,TOMPKINS,2019-2020,36109,5
428,2020-03-28,GREENE,2019-2020,36039,0
429,2020-03-28,FRANKLIN,2019-2020,36033,10
430,2020-03-28,SCHOHARIE,2019-2020,36095,1
431,2020-03-28,MONROE,2019-2020,36055,24
432,2020-03-28,ALLEGANY,2019-2020,36003,17
433,2020-03-28,JEFFERSON,2019-2020,36045,31
434,2020-04-04,CORTLAND,2019-2020,36023,1
435,2020-04-04,ST LAWRENCE,2019-2020,36089,3
436,2020-04-04,TOMPKINS,2019-2020,36109,0
437,2020-04-04,SCHOHARIE,2019-2020,36095,0
438,2020-04-04,CAYUGA,2019-2020,36011,2
439,2020-04-04,DELAWARE,2019-2020,36025,0
440,2020-04-04,SARATOGA,2019-2020,36091,1
441,2020-04-04,PUTNAM,2019-2020,36079,2
442,2020-04-04,ERIE,2019-2020,36029,4
443,2020-04-04,KINGS,2019-2020,36047,16
444,2020-04-04,SENECA,2019-2020,36099,0
445,2020-04-04,NASSAU,2019-2020,36059,9
446,2020-04-04,ROCKLAND,2019-2020,36087,4
447,2020-04-04,WARREN,2019-2020,36113,0
448,2020-04-04,WASHINGTON,2019-2020,36115,0
449,2020-04-04,FRANKLIN,2019-2020,36033,2
450,2020-04-04,HERKIMER,2019-2020,36043,0
451,2020-04-04,ONTARIO,2019-2020,36069,0
452,2020-04-04,RICHMOND,2019-2020,36085,1
453,2020-04-04,HAMILTON,2019-2020,36041,0
454,2020-04-04,SUFFOLK,2019-2020,36103,15
455,2020-04-04,MONROE,2019-2020,36055,4
456,2020-04-04,ORANGE,2019-2020,36071,0
457,2020-04-04,WESTCHESTER,2019-2020,36119,9
458,2020-04-04,BROOME,2019-2020,36007,5
459,2020-04-04,SCHENECTADY,2019-2020,36093,0
460,2020-04-04,CHENANGO,2019-2020,36017,0
461,2020-04-04,ESSEX,2019-2020,36031,1
462,2020-04-04,CLINTON,2019-2020,36019,3
463,2020-04-04,JEFFERSON,2019-2020,36045,1
464,2020-04-04,SULLIVAN,2019-2020,36105,0
465,2020-04-04,ALBANY,2019-2020,36001,1
466,2020-04-04,WAYNE,2019-2020,36117,4
467,2020-04-04,WYOMING,2019-2020,36121,1
468,2020-04-04,STEUBEN,2019-2020,36101,3
469,2020-04-04,CATTARAUGUS,2019-2020,36009,1
470,2020-04-04,LEWIS,2019-2020,36049,0
471,2020-04-04,ULSTER,2019-2020,36111,3
472,2020-04-04,CHAUTAUQUA,2019-2020,36013,2
473,2020-04-04,MONTGOMERY,2019-2020,36057,1
474,2020-04-04,DUTCHESS,2019-2020,36027,23
475,2020-04-04,GENESEE,2019-2020,36037,0
476,2020-04-04,LIVINGSTON,2019-2020,36051,2
477,2020-04-04,YATES,2019-2020,36123,1
478,2020-04-04,BRONX,2019-2020,36005,19
479,2020-04-04,GREENE,2019-2020,36039,0
480,2020-04-04,RENSSELAER,2019-2020,36083,1
481,2020-04-04,CHEMUNG,2019-2020,36015,2
482,2020-04-04,ONONDAGA,2019-2020,36067,8
483,2020-04-04,QUEENS,2019-2020,36081,6
484,2020-04-04,ALLEGANY,2019-2020,36003,4
485,2020-04-04,ONEIDA,2019-2020,36065,1
486,2020-04-04,NEW YORK,2019-2020,36061,4
487,2020-04-04,MADISON,2019-2020,36053,0
488,2020-04-04,COLUMBIA,2019-2020,36021,9
489,2020-04-04,ORLEANS,2019-2020,36073,0
490,2020-04-04,OTSEGO,2019-2020,36077,2
491,2020-04-04,OSWEGO,2019-2020,36075,3
492,2020-04-04,NIAGARA,2019-2020,36063,7
493,2020-04-04,SCHUYLER,2019-2020,36097,1
494,2020-04-04,TIOGA,2019-2020,36107,0
495,2020-04-04,FULTON,2019-2020,36035,1
496,2020-04-11,HAMILTON,2019-2020,36041,0
497,2020-04-11,MADISON,2019-2020,36053,2
498,2020-04-11,ALBANY,2019-2020,36001,1
499,2020-04-11,NASSAU,2019-2020,36059,14
500,2020-04-11,SENECA,2019-2020,36099,0
501,2020-04-11,MONROE,2019-2020,36055,3
502,2020-04-11,WAYNE,2019-2020,36117,0
503,2020-04-11,JEFFERSON,2019-2020,36045,0
504,2020-04-11,RENSSELAER,2019-2020,36083,1
505,2020-04-11,SARATOGA,2019-2020,36091,1
506,2020-04-11,FULTON,2019-2020,36035,1
507,2020-04-11,RICHMOND,2019-2020,36085,2
508,2020-04-11,NEW YORK,2019-2020,36061,7
509,2020-04-11,CHENANGO,2019-2020,36017,0
510,2020-04-11,COLUMBIA,2019-2020,36021,8
511,2020-04-11,KINGS,2019-2020,36047,9
512,2020-04-11,SCHUYLER,2019-2020,36097,0
513,2020-04-11,HERKIMER,2019-2020,36043,1
514,2020-04-11,MONTGOMERY,2019-2020,36057,2
