Week Ending Date,County,Season,FIPS,Count
2020-03-28,ORLEANS,2019-2020,36073,1
2020-03-28,PUTNAM,2019-2020,36079,1
2020-03-28,CLINTON,2019-2020,36019,14
2020-03-28,CORTLAND,2019-2020,36023,9
2020-03-28,TIOGA,2019-2020,36107,6
2020-03-28,ERIE,2019-2020,36029,15
2020-03-28,ROCKLAND,2019-2020,36087,7
2020-03-28,BRONX,2019-2020,36005,41
2020-03-28,CHEMUNG,2019-2020,36015,18
2020-03-28,OTSEGO,2019-2020,36077,5
2020-03-28,CATTARAUGUS,2019-2020,36009,2
2020-03-28,LEWIS,2019-2020,36049,9
2020-03-28,ONTARIO,2019-2020,36069,1
2020-03-28,DUTCHESS,2019-2020,36027,7
2020-03-28,WARREN,2019-2020,36113,1
2020-03-28,OSWEGO,2019-2020,36075,18
2020-03-28,SULLIVAN,2019-2020,36105,15
2020-03-28,SUFFOLK,2019-2020,36103,29
2020-03-28,SENECA,2019-2020,36099,3
2020-03-28,ESSEX,2019-2020,36031,4
2020-03-28,BROOME,2019-2020,36007,10
2020-03-28,ALBANY,2019-2020,36001,19
2020-03-28,HAMILTON,2019-2020,36041,2
2020-03-28,CHAUTAUQUA,2019-2020,36013,32
2020-03-28,QUEENS,2019-2020,36081,33
2020-03-28,ONONDAGA,2019-2020,36067,50
2020-03-28,HERKIMER,2019-2020,36043,3
2020-03-28,CHENANGO,2019-2020,36017,5
2020-03-28,ULSTER,2019-2020,36111,6
2020-03-28,WASHINGTON,2019-2020,36115,2
2020-03-28,NEW YORK,2019-2020,36061,14
2020-03-28,SARATOGA,2019-2020,36091,15
2020-03-28,ST LAWRENCE,2019-2020,36089,61
2020-03-28,COLUMBIA,2019-2020,36021,3
2020-03-28,YATES,2019-2020,36123,3
2020-03-28,RICHMOND,2019-2020,36085,9
2020-03-28,KINGS,2019-2020,36047,38
2020-03-28,MONTGOMERY,2019-2020,36057,13
2020-03-28,WYOMING,2019-2020,36121,5
2020-03-28,FULTON,2019-2020,36035,8
2020-03-28,WAYNE,2019-2020,36117,6
2020-03-28,NASSAU,2019-2020,36059,25
2020-03-28,TOMPKINS,2019-2020,36109,5
2020-03-28,GREENE,2019-2020,36039,0
2020-03-28,FRANKLIN,2019-2020,36033,10
2020-03-28,SCHOHARIE,2019-2020,36095,1
2020-03-28,MONROE,2019-2020,36055,24
2020-03-28,ALLEGANY,2019-2020,36003,17
2020-03-28,JEFFERSON,2019-2020,36045,31
2020-04-04,CORTLAND,2019-2020,36023,1
2020-04-04,ST LAWRENCE,2019-2020,36089,3
2020-04-04,TOMPKINS,2019-2020,36109,0
2020-04-04,SCHOHARIE,2019-2020,36095,0
2020-04-04,CAYUGA,2019-2020,36011,2
2020-04-04,DELAWARE,2019-2020,36025,0
2020-04-04,SARATOGA,2019-2020,36091,1
2020-04-04,PUTNAM,2019-2020,36079,2
2020-04-04,ERIE,2019-2020,36029,4
2020-04-04,KINGS,2019-2020,36047,16
2020-04-04,SENECA,2019-2020,36099,0
2020-04-04,NASSAU,2019-2020,36059,9
2020-04-04,ROCKLAND,2019-2020,36087,4
2020-04-04,WARREN,2019-2020,36113,0
2020-04-04,WASHINGTON,2019-2020,36115,0
2020-04-04,FRANKLIN,2019-2020,36033,2
2020-04-04,HERKIMER,2019-2020,36043,0
2020-04-04,ONTARIO,2019-2020,36069,0
2020-04-04,RICHMOND,2019-2020,36085,1
2020-04-04,HAMILTON,2019-2020,36041,0
2020-04-04,SUFFOLK,2019-2020,36103,15
2020-04-04,MONROE,2019-2020,36055,4
2020-04-04,ORANGE,2019-2020,36071,0
2020-04-04,WESTCHESTER,2019-2020,36119,9
2020-04-04,BROOME,2019-2020,36007,5
2020-04-04,SCHENECTADY,2019-2020,36093,0
2020-04-04,CHENANGO,2019-2020,36017,0
2020-04-04,ESSEX,2019-2020,36031,1
2020-04-04,CLINTON,2019-2020,36019,3
2020-04-04,JEFFERSON,2019-2020,36045,1
2020-04-04,SULLIVAN,2019-2020,36105,0
2020-04-04,ALBANY,2019-2020,36001,1
2020-04-04,WAYNE,2019-2020,36117,4
2020-04-04,WYOMING,2019-2020,36121,1
2020-04-04,STEUBEN,2019-2020,36101,3
2020-04-04,CATTARAUGUS,2019-2020,36009,1
2020-04-04,LEWIS,2019-2020,36049,0
2020-04-04,ULSTER,2019-2020,36111,3
2020-04-04,CHAUTAUQUA,2019-2020,36013,2
2020-04-04,MONTGOMERY,2019-2020,36057,1
2020-04-04,DUTCHESS,2019-2020,36027,23
2020-04-04,GENESEE,2019-2020,36037,0
2020-04-04,LIVINGSTON,2019-2020,36051,2
2020-04-04,YATES,2019-2020,36123,1
2020-04-04,BRONX,2019-2020,36005,19
2020-04-04,GREENE,2019-2020,36039,0
2020-04-04,RENSSELAER,2019-2020,36083,1
2020-04-04,CHEMUNG,2019-2020,36015,2
2020-04-04,ONONDAGA,2019-2020,36067,8
2020-04-04,QUEENS,2019-2020,36081,6
2020-04-04,ALLEGANY,2019-2020,36003,4
2020-04-04,ONEIDA,2019-2020,36065,1
2020-04-04,NEW YORK,2019-2020,36061,4
2020-04-04,MADISON,2019-2020,36053,0
2020-04-04,COLUMBIA,2019-2020,36021,9
2020-04-04,ORLEANS,2019-2020,36073,0
2020-04-04,OTSEGO,2019-2020,36077,2
2020-04-04,OSWEGO,2019-2020,36075,3
2020-04-04,NIAGARA,2019-2020,36063,7
2020-04-04,SCHUYLER,2019-2020,36097,1
2020-04-04,TIOGA,2019-2020,36107,0
2020-04-04,FULTON,2019-2020,36035,1
2020-04-11,HAMILTON,2019-2020,36041,0
2020-04-11,MADISON,2019-2020,36053,2
2020-04-11,ALBANY,2019-2020,36001,1
2020-04-11,NASSAU,2019-2020,36059,14
2020-04-11,SENECA,2019-2020,36099,0
2020-04-11,MONROE,2019-2020,36055,3
2020-04-11,WAYNE,2019-2020,36117,0
2020-04-11,JEFFERSON,2019-2020,36045,0
2020-04-11,RENSSELAER,2019-2020,36083,1
2020-04-11,SARATOGA,2019-2020,36091,1
2020-04-11,FULTON,2019-2020,36035,1
2020-04-11,RICHMOND,2019-2020,36085,2
2020-04-11,NEW YORK,2019-2020,36061,7
2020-04-11,CHENANGO,2019-2020,36017,0
2020-04-11,COLUMBIA,2019-2020,36021,8
2020-04-11,KINGS,2019-2020,36047,9
2020-04-11,SCHUYLER,2019-2020,36097,0
2020-04-11,HERKIMER,2019-2020,36043,1
2020-04-11,MONTGOMERY,2019-2020,36057,2
2020-04-11,BROOME,2019-2020,36007,1
2020-04-11,ULSTER,2019-2020,36111,0
2020-04-11,WASHINGTON,2019-2020,36115,0
2020-04-11,BRONX,2019-2020,36005,12
2020-04-11,FRANKLIN,2019-2020,36033,1
2020-04-11,CHEMUNG,2019-2020,36015,1
2020-04-11,YATES,2019-2020,36123,0
